epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.808,1.86301,0.983,1.04372,0.53882,0.54819,0.44426,0.14368,2.77469,1.19592,1.43899,0.00333106,0.00333106,0.00333106
2,273.529,1.50496,0.67904,0.94268,0.49516,0.49012,0.32994,0.10854,3.10933,1.2549,1.65471,0.00664241,0.00664241,0.00664241
3,405.923,1.40937,0.64427,0.92425,0.55929,0.5551,0.38627,0.11822,2.65685,1.25835,1.40421,0.00993175,0.00993175,0.00993175
4,538.006,1.30552,0.59841,0.90616,0.52981,0.52791,0.34427,0.10778,2.82578,1.20617,1.51291,0.009901,0.009901,0.009901
5,670.024,1.18733,0.55055,0.88598,0.55515,0.54827,0.39759,0.12761,2.82479,1.20097,1.50226,0.009868,0.009868,0.009868
6,802.353,1.11134,0.51855,0.87336,0.53392,0.54571,0.35469,0.10491,2.85332,1.19056,1.51617,0.009835,0.009835,0.009835
7,933.846,1.05811,0.49671,0.86531,0.5558,0.55985,0.40919,0.12011,2.8024,1.18836,1.48408,0.009802,0.009802,0.009802
8,1067.23,1.01587,0.47845,0.85889,0.52797,0.52738,0.33624,0.09707,2.85242,1.21148,1.52118,0.009769,0.009769,0.009769
9,1199.82,0.98699,0.46601,0.85422,0.52336,0.5229,0.3467,0.10229,2.92772,1.20425,1.56211,0.009736,0.009736,0.009736
10,1332.71,0.96089,0.45516,0.85029,0.50845,0.51316,0.31369,0.09465,3.0279,1.1991,1.64603,0.009703,0.009703,0.009703
11,1465.23,0.93546,0.44274,0.84649,0.52103,0.51901,0.32766,0.09836,2.97353,1.23937,1.61366,0.00967,0.00967,0.00967
12,1598.13,0.91602,0.43572,0.84363,0.51379,0.51933,0.34095,0.09945,2.98966,1.22416,1.60723,0.009637,0.009637,0.009637
13,1729.84,0.90043,0.4293,0.84121,0.50151,0.50775,0.31207,0.08724,2.93945,1.23239,1.59045,0.009604,0.009604,0.009604
14,1862.48,0.88582,0.42271,0.83921,0.49344,0.49276,0.29868,0.08344,3.0446,1.25919,1.63108,0.009571,0.009571,0.009571
